Level,Date,State FIPS,State Postal Code,County FIPS,County Name,Population Staying at Home,Population Not Staying at Home,Number of Trips,Number of Trips <1,Number of Trips 1-3,Number of Trips 3-5,Number of Trips 5-10,Number of Trips 10-25,Number of Trips 25-50,Number of Trips 50-100,Number of Trips 100-250,Number of Trips 250-500,Number of Trips >=500,Row ID,Week,Month
County,2020-04-17,6.0,CA,6083.0,Santa Barbara County,0.6155511924698274,0.3844488075301727,966001.0,0.13561919255722443,0.07895372511128748,0.13470713405756524,0.12426017046296368,89190.0,31815.0,36666.0,7519.0,1498.0,1102.0,06-06083-20200417,15,4
County,2020-04-18,6.0,CA,6083.0,Santa Barbara County,0.7307366556947893,0.2692633443052107,943002.0,0.1208200337792034,0.12140400519916722,0.07344831448090491,0.13197233290964527,84591.0,35395.0,16102.0,7127.0,1973.0,1161.0,06-06083-20200418,15,4
County,2020-04-19,6.0,CA,6083.0,Santa Barbara County,0.7385324632827087,0.2614675367172913,940989.0,0.16334882860575128,0.12657326569814922,0.05146600963153768,0.07863962341149468,59037.0,49226.0,10197.0,9124.0,1590.0,535.0,06-06083-20200419,16,4
County,2020-04-20,6.0,CA,6083.0,Santa Barbara County,0.5797963465573329,0.42020365344266714,1105780.0,0.1821869879649764,0.13787570309534491,0.07425691566804793,0.1900097994109956,116484.0,50082.0,37724.0,8399.0,1040.0,0.0,06-06083-20200420,16,4
County,2020-04-21,6.0,CA,6083.0,Santa Barbara County,0.6325768512636908,0.3674231487363092,1000908.0,0.12972307149020518,0.1400864994191196,0.07387613394557062,0.10990676263331228,101997.0,52517.0,26291.0,6036.0,690.0,309.0,06-06083-20200421,16,4
County,2020-04-22,6.0,CA,6083.0,Santa Barbara County,0.6463301957613905,0.35366980423860944,1005422.0,0.13255552180671443,0.12259107169559566,0.1350117594355471,0.12709342191792927,94599.0,42626.0,27471.0,5302.0,693.0,272.0,06-06083-20200422,16,4
County,2020-04-23,6.0,CA,6083.0,Santa Barbara County,0.6517198898962484,0.3482801101037516,986936.0,0.1224049447540813,0.11768407007373155,0.12,0.09310480171138785,102211.0,53747.0,23658.0,5545.0,824.0,194.0,06-06083-20200423,16,4
County,2020-04-24,6.0,CA,6083.0,Santa Barbara County,0.6075725202594753,0.3924274797405247,1047942.0,0.1537405685710472,0.14011525587494392,0.11182887221413372,0.11493643379419158,96402.0,57147.0,30350.0,8298.0,775.0,146.0,06-06083-20200424,16,4
County,2020-04-25,6.0,CA,6083.0,Santa Barbara County,0.691468884140825,0.308531115859175,1089588.0,0.19722892819869822,0.1720682793287093,0.13206406092507558,0.09489572854851748,83680.0,47138.0,24399.0,7854.0,576.0,636.0,06-06083-20200425,16,4
County,2020-04-26,6.0,CA,6083.0,Santa Barbara County,0.7319685857827568,0.2680314142172432,958883.0,0.11639321347006168,0.14785304300815533,0.1196460969873446,0.05951907506036905,80229.0,46665.0,15145.0,7823.0,568.0,267.0,06-06083-20200426,17,4
County,2020-04-27,6.0,CA,6083.0,Santa Barbara County,0.6109892013628226,0.38901079863717736,1055201.0,0.16059520343719685,0.1445322474895614,0.10676223541270019,0.1451040635064216,95497.0,50301.0,26112.0,7344.0,928.0,489.0,06-06083-20200427,17,4
County,2020-04-28,6.0,CA,6083.0,Santa Barbara County,0.6195357163480972,0.38046428365190277,1034189.0,0.13521035278983218,0.14930121812346872,0.12062045021838952,0.13506291637749307,94042.0,52219.0,22490.0,7512.0,855.0,224.0,06-06083-20200428,17,4
County,2020-04-29,6.0,CA,6083.0,Santa Barbara County,0.6692845181035976,0.3307154818964024,1056596.0,0.16416230413264485,0.1419993788605542,0.12097883301601522,0.12970833105893423,94706.0,55139.0,23011.0,6628.0,646.0,320.0,06-06083-20200429,17,4
